,,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,Rocket Cow,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA,CEA
,,of ratio,pressure,temperature,density,specific volume,enthalpy,internal energy,gibbs,entropy,molar mass,c_p,c_v,gamma,gamma_s,speed sound,velocity,mach,area ratio,I_sp,I_vac,c*,C_f,dlnV_dlnT_P,dlnV_dlnP_T,of ratio,pressure,temperature,density,specific volume,enthalpy,internal energy,gibbs,entropy,molar mass,c_p,c_v,gamma,gamma_s,speed sound,velocity,mach,area ratio,I_sp,I_vac,c*,C_f,dlnV_dlnP_T,dlnV_dlnT_P
0,chamber,1.0,2000000.0000000102,1176.6586066716827,2.6735395195311136,0.3740359896289771,-2983866.709038551,-3731938.688296509,-20429908.910362568,14826.766321518015,13.077998201729741,13824.513671421235,11777.489488697192,1.1738081944109195,0.658412467865556,701.8118822051271,0.0,0.0,,,,1344.2926440735198,,2.3958773187461113,-1.782785490402658,1.0,20.0,1180.4,2.6587,0.3761236694625193,-2984000.0,0,0,0,12.825,14608.0,11312.136033639636,1.291356465,1.1577,933.18,0.0,0.0,,0.0,0.0,1357.2,0.0,-1.11545,2.4017
0,throat,1.0,1451421.2966339374,1136.6765325357019,2.0329755695145146,0.49188982641773965,-3218157.834950323,-3932097.2046106015,-20071395.166014865,14826.766321521816,13.237615041732811,14759.832185351592,12595.75236126815,1.171810286675528,0.6563411003738533,684.5346970629336,684.5346970629336,1.0,,,,,,2.480208958565463,-1.7853678308551184,1.0,11.501,1116.2,1.6451,0.6078657832350617,-3385100.0,0,0,0,12.747,16175.0,12607.147572394202,1.283002353,1.1477,895.75,768.35,1.0,1.0,91.30988786952089,170.87665647298672,0.0,0.65998,-1.11789,2.5233
0,exit,1.0,101325.00000002972,892.1029643829488,0.199146693593912,5.021424066618651,-4819773.267925126,-5328569.06147541,-18046775.455565132,14826.766321518593,14.5782587885579,21147.83601533795,18351.824081127208,1.1523560776220674,0.6458591346886937,573.2455067033965,1916.1975675209353,3.342717117035157,3.6468192707235114,195.39777268699663,222.47365090394229,,1.425431862599806,2.9575336233973086,-1.7842220009437613,1.0,1.0132,900.93,0.1929,5.1840331778123385,-4856800.0,0,0,0,12.423,18829.0,15130.248145318572,1.2444607529999998,1.1239,768.35,1935.396815,2.5189,3.9469,197.28848114169216,224.954128440367,0.0,1.426,-1.10727,2.6506
1,chamber,1.5,2000000.0000000002,1668.337265511334,1.9279222908012201,0.5186931054074865,-2468217.1877976377,-3505603.3986126105,-27597322.72918892,15062.365422670926,13.371421061851821,2820.505657232368,2507.608621457413,1.1247790556698198,0.5625627965788887,763.9338242861405,0.0,0.0,,,,1607.7595090647135,,1.0030452386951143,-1.9993840021237361,1.5,20.0,1668.2,1.928,0.5186721991701245,-2468300.0,0,0,0,13.371,2820.9,2195.4660954830083,1.284875228,1.2844,1154.3,0.0,0.0,,0.0,0.0,1532.2,0.0,-1.00037,1.0031
1,throat,1.5,1522053.9619731344,1570.365503991913,1.5589157393995714,0.6414714886291146,-2743102.3462489094,-3719456.5670096576,-26396521.414512087,15062.365422658304,13.372959323722366,2815.4019501800863,2501.196371568835,1.1256221151537058,0.5630934494255191,741.4706103611488,741.4706103611488,1.0,,,,,,1.0051009559117663,-1.9989969982817088,1.5,10.964,1460.0,1.2081,0.8277460475126232,-3052000.0,0,0,0,13.376,2838.7,2203.994749217568,1.287979475,1.2865,1080.5,823.47,1.0,1.0,110.1427115188583,195.75942915392457,0.0,0.70521,-1.00115,1.011
1,exit,1.5,101325.00003274844,979.4840782845788,0.17362406093801416,5.759570387868141,-4765651.996268853,-5349240.466008209,-19518999.109984417,15062.36542359511,13.954840056402507,10472.808222306106,9378.560259345975,1.1166754739214566,0.5877970644366648,585.6889868794522,2143.5646985669523,3.6599026899717777,3.10577562674467,218.5827676695867,246.3446833470424,,1.3332620248745624,1.8678973023030299,-1.8997636114288192,1.5,1.0132,980.07,0.17356,5.7616962433740495,-4765900.0,0,0,0,13.958,10494.0,8526.195859296124,1.23079509,1.1615,823.47,2143.6571040000003,2.6032,3.5085,218.52191641182463,246.27930682976555,0.0,1.3991,-1.05966,1.8712
2,chamber,2.0,2000000.0000000019,2540.581632806888,1.5152554399517277,0.6599547334618759,-2124450.8404112323,-3444360.3073349856,-38916746.850081615,14481.839723064313,16.003802945342336,3014.3483114678734,2740.2859624510033,1.1000123172443432,0.5495376527350908,851.6689205765961,0.0,0.0,,,,1828.3594687668076,,1.027588510781549,-2.001705091124326,2.0,20.0,2540.6,1.5152,0.6599788806758183,-2124500.0,0,0,0,16.004,3012.3,2464.4736828670593,1.2222893760000002,1.2208,1269.4,0.0,0.0,,0.0,0.0,1757.0,0.0,-1.00122,1.0274
2,throat,2.0,1528794.462825077,2420.853249535684,1.2165631914755761,0.8219877167145708,-2470531.7767168223,-3727182.046540286,-37528940.53090988,14481.839723625215,16.01725979824671,2903.2832742972723,2634.007778849898,1.1022303341734814,0.5507793801332385,831.9477487544721,831.9477487544721,1.0,,,,,,1.0188793896214972,-2.0012193156302294,2.0,11.156,2283.8,0.94169,1.0619205895783113,-2855100.0,0,0,0,16.028,2798.1,2267.747884379899,1.233867318,1.2333,1208.8,960.6,1.0,1.0,123.22120285423037,223.1294597349643,0.0,0.68799,-1.00046,1.0114
2,exit,2.0,101325.00000001071,1418.248059267627,0.13785283544986987,7.25411266831468,-5121451.634595221,-5856474.6007122835,-25660292.716456488,14481.83972306465,16.042995954729165,2547.1674681464033,2287.99895772929,1.1132730019572752,0.556637859414388,639.6417829377752,2448.265015958848,3.827556424963903,2.998862771940008,249.65355304399037,280.2676749047757,,1.3390501472941503,1.0000719092445196,-1.999995119139931,2.0,1.0132,1418.1,0.13786,7.253735673872043,-5121400.0,0,0,0,16.042,2547.2000000000003,2028.8331342094782,1.2555,1.2555,960.6,2448.18516,2.5486,3.3726,249.56167176350658,280.1630988786952,0.0,1.3934,-1.0,1.0001
